[ 2012-09-16T16:32:20+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000219s ]
[ 2012-09-16T16:32:20+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.000797s ]
[ 2012-09-16T16:32:20+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ view_end ] --START--
[ 2012-09-16T16:32:20+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.001277s ]
[ 2012-09-16T16:32:20+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.001326s ]
[ 2012-09-16T16:36:50+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T16:36:50+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckRoute Behavior [ RunTime:0.000515s ]
[ 2012-09-16T16:36:50+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000606s ]
[ 2012-09-16T16:36:50+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T16:36:50+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000316s ]
[ 2012-09-16T16:36:50+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000235s ]
[ 2012-09-16T16:36:50+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000632s ]
[ 2012-09-16T16:36:50+08:00 ] /admin.php/Introduction/introList | SQL: SHOW COLUMNS FROM `qilihai_introduction` [ RunTime:0.000667s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | SQL: SELECT COUNT(*) AS tp_count FROM `qilihai_introduction` LIMIT 1   [ RunTime:0.000272s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | SQL: SELECT * FROM `qilihai_introduction` ORDER BY id LIMIT 0,20   [ RunTime:0.022013s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --START--
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000314s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000373s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ParseTemplate Behavior [ RunTime:0.024136s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.024198s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --START--
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ContentReplace Behavior [ RunTime:0.000311s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Run TokenBuild Behavior [ RunTime:0.000409s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000115s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000279s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.001264s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_end ] --START--
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.001274s ]
[ 2012-09-16T16:36:51+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.001333s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Run CheckRoute Behavior [ RunTime:0.000921s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001071s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000264s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000196s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000546s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | SQL: SHOW COLUMNS FROM `qilihai_introhouse` [ RunTime:0.000528s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | SQL: UPDATE `qilihai_introhouse` SET `status`=1 WHERE id = 10 [ RunTime:0.000208s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Tag[ view_template ] --START--
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000233s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000278s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Run ParseTemplate Behavior [ RunTime:0.070163s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.070265s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Tag[ view_filter ] --START--
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Run ContentReplace Behavior [ RunTime:0.000369s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Run TokenBuild Behavior [ RunTime:0.000443s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000204s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000508s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.001768s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Tag[ view_end ] --START--
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.002137s ]
[ 2012-09-16T16:36:56+08:00 ] /admin.php/Introduction/introOperate/status/0/id/10 | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.002232s ]
[ 2012-09-16T16:37:00+08:00 ] /admin.php/Introduction/introModify/id/10 | DEBUG: Tag[ route_check ] --START--
