[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ParseTemplate Behavior [ RunTime:0.000434s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.000475s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_filter ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ContentReplace Behavior [ RunTime:0.000169s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run TokenBuild Behavior [ RunTime:0.000241s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000096s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000214s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.000830s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_end ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.000199s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.000236s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckRoute Behavior [ RunTime:0.000653s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000801s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000338s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000282s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000704s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SHOW COLUMNS FROM `notice` [ RunTime:0.000433s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice`  [ RunTime:0.000110s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 1 ORDER BY create_time LIMIT 10   [ RunTime:0.000099s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 2 ORDER BY create_time LIMIT 10   [ RunTime:0.000084s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_template ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000266s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000313s ]
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-16T11:56:18+08:00 ] /index++.php/Notice/index | DEBUG: Run ParseTemplate Behavior [ RunTime:0.000472s ]
